Original Title,Closest 1,Closest 2,Closest 3,doi,Article_ID
breast cancer,Breast Cancer,Breast Care,npj Breast Cancer,https://doi.org/10.1007/s12282-016-0713-4,10-1007_s12282-016-0713-4
british food journal,British Food Journal,BRITISH DENTAL JOURNAL,Ukrainian Food Journal,https://doi.org/10.1108/bfj-07-2019-0576,10-1108_bfj-07-2019-0576
british journal of clinical psychology,BRITISH JOURNAL OF CLINICAL PSYCHOLOGY,BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,BRITISH JOURNAL OF CLINICAL PHARMACOLOGY,https://doi.org/10.1111/bjc.12283,10-1111_bjc-12283
british journal of guidance and counselling,BRITISH JOURNAL OF GUIDANCE & COUNSELLING,British Journal of Canadian Studies,British Journal of Music Education,https://doi.org/10.1080/03069885.2018.1540141,10-1080_03069885-2018-1540141
british journal of health psychology,BRITISH JOURNAL OF HEALTH PSYCHOLOGY,BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,BRITISH JOURNAL OF PSYCHOLOGY,https://doi.org/10.1111/bjhp.12385,10-1111_bjhp-12385
british journal of pharmacology,BRITISH JOURNAL OF PHARMACOLOGY,BRITISH JOURNAL OF HAEMATOLOGY,BRITISH JOURNAL OF DERMATOLOGY,https://doi.org/10.1111/bph.14805,10-1111_bph-14805
british journal of psychology,BRITISH JOURNAL OF PSYCHOLOGY,BRITISH JOURNAL OF SOCIOLOGY,BRITISH JOURNAL OF PSYCHIATRY,https://doi.org/10.1111/bjop.12250,10-1111_bjop-12250
british journal of religious education,British Journal of Religious Education,Journal of Religious Education,British Journal of Music Education,https://doi.org/10.1080/01416200.2016.1209457,10-1080_01416200-2016-1209457
british journal of social psychology,BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,BRITISH JOURNAL OF CLINICAL PSYCHOLOGY,BRITISH JOURNAL OF HEALTH PSYCHOLOGY,https://doi.org/10.1111/bjso.12499,10-1111_bjso-12499
building barriers and bridges,BUILDING AND ENVIRONMENT,Fluids and Barriers of the CNS,BUILDING ACOUSTICS,empty,-8.96E+18
bulletin of nizhnevartovsk state university,Bulletin of Russian State Medical University,BULLETIN OF THE ATOMIC SCIENTISTS,Bulletin of Mathematical Sciences,https://doi.org/10.36906/2311-4444/19-1/01,10-36906_2311-4444_19-1_01
bundesgesundheitsblatt gesundheitsforschung gesundheitsschutz,Bundesgesundheitsblatt-Gesundheitsforschung-Gesundheitsschutz,Bewegungstherapie und Gesundheitssport,Pravention und Gesundheitsforderung,https://doi.org/10.1007/s00103-020-03186-9,10-1007_s00103-020-03186-9
business and management studies,Chinese Management Studies,Tourism & Management Studies,JOURNAL OF MANAGEMENT STUDIES,https://doi.org/10.11114/bms.v4i3.3297,10-11114_bms-v4i3-3297
child psychiatry  human development,CHILD PSYCHIATRY & HUMAN DEVELOPMENT,CHILD CARE HEALTH AND DEVELOPMENT,ATTACHMENT & HUMAN DEVELOPMENT,https://doi.org/10.1007/s10578-018-00865-2,10-1007_s10578-018-00865-2
cadernos de tradução,Cadernos de Traducao,Cuadernos de Turismo,Cadernos de Historia,https://doi.org/10.5007/2175-7968.2020v40n2p377,10-5007_2175-7968-2020v40n2p377
cahiers de recherche sociologique,Cahiers de l Annee Gerontologique,Cahiers de Narratologie,Cahiers de praxématique,https://doi.org/10.7202/1055724ar,10-7202_1055724ar
canadian journal of career development,Canadian Journal of Career Development,Australian Journal of Career Development,JOURNAL OF CAREER DEVELOPMENT,empty,-1.52E+18
cancers,Cancers,CANCER,Avances,https://doi.org/10.3390/cancers13061332,10-3390_cancers13061332
cardiology journal,Cardiology Journal,Urology Journal,Virology Journal,https://doi.org/10.5603/cj.a2017.0059,10-5603_cj-a2017-0059
central european economic journal,Central European Economic Journal,Central European Forestry Journal,Central European Management Journal,https://doi.org/10.2478/ceej-2021-0005,10-2478_ceej-2021-0005
central european journal of nursing and midwifery,African Journal of Nursing and Midwifery,Central European Journal of Sport Sciences and Medicine,Central European Journal of Urology,https://doi.org/10.15452/cejnm.2021.12.0002,10-15452_cejnm-2021-12-0002
chaos an interdisciplinary journal of nonlinear science,Shofar-An Interdisciplinary Journal of Jewish Studies,Transfers-Interdisciplinary Journal of Mobility Studies,INQUIRY-AN INTERDISCIPLINARY JOURNAL OF PHILOSOPHY,https://doi.org/10.1063/1.5024915,10-1063_1-5024915
chemical senses,CHEMICAL SENSES,Chemical Science,CHEMICAL REVIEWS,https://doi.org/10.1093/chemse/bjy038,10-1093_chemse_bjy038
chemosensory perception,Chemosensory Perception,MUSIC PERCEPTION,Art & Perception,https://doi.org/10.1007/s12078-017-9230-x,10-1007_s12078-017-9230-x
chest,CHEST,TEST,QUEST,https://doi.org/10.1016/j.chest.2021.02.007,10-1016_j-chest-2021-02-007
child abuse  neglect,CHILD ABUSE & NEGLECT,Child Abuse Review,CHILD DEVELOPMENT,https://doi.org/10.1016/j.chiabu.2018.02.018,10-1016_j-chiabu-2018-02-018
child development,CHILD DEVELOPMENT,WORLD DEVELOPMENT,Cells & Development,https://doi.org/10.1111/cdev.12830,10-1111_cdev-12830
child development perspectives,Child Development Perspectives,CHILD DEVELOPMENT,China Perspectives,https://doi.org/10.1111/cdep.12361,10-1111_cdep-12361
child language teaching and therapy,Child Language Teaching & Therapy,Language Teaching Research,Journal of Language Teaching and Learning,https://doi.org/10.1177/0265659018780958,10-1177_0265659018780958
child neuropsychology,CHILD NEUROPSYCHOLOGY,NEUROPSYCHOLOGY,COGNITIVE NEUROPSYCHOLOGY,https://doi.org/10.1080/09297049.2021.1961702,10-1080_09297049-2021-1961702
child psychiatry and human development,CHILD PSYCHIATRY & HUMAN DEVELOPMENT,CHILD CARE HEALTH AND DEVELOPMENT,Research in Human Development,https://doi.org/10.1007/s10578-018-00865-2,10-1007_s10578-018-00865-2
children,Chiron,Builder,CHIRURG,https://doi.org/10.3390/children8090744,10-3390_children8090744
chirurgia po dyplomie  s,Chirurgia-Italy,CULTURAL DYNAMICS,Cirugia y Cirujanos,empty,2.13E+17
chowanna,Chowanna,TAIWANIA,Romania,empty,-7.23E+18
chronobiology international  the journal of biological and medical rhythm research,Anatolia-International Journal of Tourism and Hospitality Research,International Journal of Applied and Basic Medical Research,INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,https://doi.org/10.1080/07420528.2017.1316730,10-1080_07420528-2017-1316730
citizenship teaching and learning,Journal of Teaching and Learning,Mathematical Thinking and Learning,Currents in Pharmacy Teaching and Learning,https://doi.org/10.1386/ctl.12.2.227_1,10-1386_ctl-12-2-227_1
clinical child psychology and psychiatry,Clinical Child Psychology and Psychiatry,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,CLINICAL PSYCHOLOGY & PSYCHOTHERAPY,https://doi.org/10.1016/j.jcrimjus.2020.101750,10-1016_j-jcrimjus-2020-101750
clinical interventions in aging,Clinical Interventions in Aging,Clinical Simulation in Nursing,CLINICAL INFECTIOUS DISEASES,https://doi.org/10.2147/cia.s118136,10-2147_cia-s118136
clinical neurophysiology,CLINICAL NEUROPHYSIOLOGY,Clinical Neuroradiology,CLINICAL NEUROPATHOLOGY,empty,-6.92E+18
clinical psychology  psychotherapy,CLINICAL PSYCHOLOGY & PSYCHOTHERAPY,CLINICAL PSYCHOLOGY REVIEW,Journal of Child Psychotherapy,https://doi.org/10.1002/cpp.2601,10-1002_cpp-2601
clinical and experimental hepatology,Clinical and Experimental Hepatology,CLINICAL AND EXPERIMENTAL DERMATOLOGY,CLINICAL AND EXPERIMENTAL RHEUMATOLOGY,https://doi.org/10.5114/ceh.2019.89148,10-5114_ceh-2019-89148
clinical and experimental obstetrics and gynecology,Clinical and Experimental Obstetrics & Gynecology,Clinical and Experimental Otorhinolaryngology,Clinical and Experimental Gastroenterology,https://doi.org/10.12891/ceog4090.2018,10-12891_ceog4090-2018
clinical psychology review,CLINICAL PSYCHOLOGY REVIEW,SCHOOL PSYCHOLOGY REVIEW,Clinical Psychologist,https://doi.org/10.1016/j.cpr.2017.04.007,10-1016_j-cpr-2017-04-007
coaching review,ACCOUNTING REVIEW,PACIFIC REVIEW,Tourism Review,https://doi.org/10.7206/cr.2081-7029.45,10-7206_cr-2081-7029-45
cochrane database of systematic reviews,Cochrane Database of Systematic Reviews,The Prison Systems Review,Systematic Reviews,https://doi.org/10.1002/14651858.cd004025.pub4,10-1002_14651858-cd004025-pub4
cogent psychology,Cogent Psychology,CURRENT PSYCHOLOGY,Cogent Biology,https://doi.org/10.1080/23311908.2018.1451610,10-1080_23311908-2018-1451610
cognition,COGNITION,Criticon,CORROSION,https://doi.org/10.1016/j.cognition.2020.104477,10-1016_j-cognition-2020-104477
cognitive computation,Cognitive Computation,COGNITIVE LINGUISTICS,NEURAL COMPUTATION,https://doi.org/10.1007/s12559-021-09834-9,10-1007_s12559-021-09834-9
cognitive development,COGNITIVE DEVELOPMENT,Community Development,SOCIAL DEVELOPMENT,https://doi.org/10.1016/j.cogdev.2021.101084,10-1016_j-cogdev-2021-101084
cognitive neuropsychiatry,Cognitive Neuropsychiatry,COGNITIVE NEUROPSYCHOLOGY,Clinical Neuropsychiatry,https://doi.org/10.1080/13546805.2019.1611551,10-1080_13546805-2019-1611551
cognitive processing,Cognitive Processing,SIGNAL PROCESSING,IET Image Processing,https://doi.org/10.1007/s10339-018-0861-x,10-1007_s10339-018-0861-x
cognitive and behavioral neurology,Cognitive and Behavioral Neurology,COGNITIVE AND BEHAVIORAL PRACTICE,COGNITIVE BEHAVIOUR THERAPY,https://doi.org/10.1097/wnn.0000000000000232,10-1097_wnn-0000000000000232
collabra psychology,Social Psychology,CULTURE & PSYCHOLOGY,POLITICAL PSYCHOLOGY,https://doi.org/10.1525/collabra.165,10-1525_collabra-165
committee for psychological science pas,Clinical Psychological Science,Evolutionary Psychological Science,Perspectives on Psychological Science,https://doi.org/10.24425/ppb.2019.131004,10-24425_ppb-2019-131004
communications biology,Communications Biology,Communication Today,COMMUNICATION THEORY,https://doi.org/10.1038/s42003-019-0693-y,10-1038_s42003-019-0693-y
community mental health journal,COMMUNITY MENTAL HEALTH JOURNAL,INFANT MENTAL HEALTH JOURNAL,COMMUNITY DENTAL HEALTH,https://doi.org/10.1007/s10597-019-00507-4,10-1007_s10597-019-00507-4
complementary therapies in clinical practice,Complementary Therapies in Clinical Practice,COMPLEMENTARY THERAPIES IN MEDICINE,Hereditary Cancer in Clinical Practice,https://doi.org/10.1016/j.ctcp.2019.04.003,10-1016_j-ctcp-2019-04-003
comprehensive psychiatry,COMPREHENSIVE PSYCHIATRY,Comprehensive Physiology,Australasian Psychiatry,https://doi.org/10.1016/j.comppsych.2020.152222,10-1016_j-comppsych-2020-152222
comprehensive results in social psychology,Current Research in Social Psychology,European Review of Social Psychology,JOURNAL OF SOCIAL PSYCHOLOGY,https://doi.org/10.1080/23743603.2021.1884495,10-1080_23743603-2021-1884495
computational intelligence and neuroscience,Computational Intelligence and Neuroscience,COMPUTATIONAL INTELLIGENCE,Computational Management Science,https://doi.org/10.1155/2021/8842420,10-1155_2021_8842420
computer in human behaviors,COMPUTERS IN HUMAN BEHAVIOR,EVOLUTION AND HUMAN BEHAVIOR,LAW AND HUMAN BEHAVIOR,empty,-6.25E+18
computers  education,COMPUTERS & EDUCATION,COMPUTERS & SECURITY,COMPUTERS & FLUIDS,https://doi.org/10.1016/j.compedu.2021.104286,10-1016_j-compedu-2021-104286
computers  security,COMPUTERS & SECURITY,COMPUTERS & FLUIDS,COMPUTERS & EDUCATION,https://doi.org/10.1016/j.cose.2020.101954,10-1016_j-cose-2020-101954
consciousness and cognition,CONSCIOUSNESS AND COGNITION,Language and Cognition,BRAIN AND COGNITION,https://doi.org/10.1016/j.concog.2019.102845,10-1016_j-concog-2019-102845
contemporary educational psychology,CONTEMPORARY EDUCATIONAL PSYCHOLOGY,JOURNAL OF EDUCATIONAL PSYCHOLOGY,Educational Psychology,https://doi.org/10.1016/j.cedpsych.2021.101949,10-1016_j-cedpsych-2021-101949
contemporary family therapy,CONTEMPORARY FAMILY THERAPY,JOURNAL OF FAMILY THERAPY,Contemporary Mathematics,https://doi.org/10.1007/s10591-021-09567-9,10-1007_s10591-021-09567-9
coping with lack of control in a social world,JOURNAL OF GERONTOLOGICAL SOCIAL WORK,Journal of Teaching in Social Work,AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK,empty,-6.17E+18
cornell hospitality quarterly,Cornell Hospitality Quarterly,Conflict Studies Quarterly,LEARNING DISABILITY QUARTERLY,https://doi.org/10.1177/1938965518797075,10-1177_1938965518797075
cortex,CORTEX,CORNEA,Cerne,https://doi.org/10.1016/j.cortex.2020.10.025,10-1016_j-cortex-2020-10-025
cortex a journal devoted to the study of the nervous system and behavior,CounterText-A Journal for the Study of the Post-Literary,Journal for the Study of the New Testament,International Journal for the Study of the Christian Church,https://doi.org/10.1016/j.cortex.2018.10.010,10-1016_j-cortex-2018-10-010
counselling and psychotherapy research,Counselling & Psychotherapy Research,PSYCHOTHERAPY RESEARCH,Counselling Psychology Quarterly,https://doi.org/10.1002/capr.12292,10-1002_capr-12292
couple and family psychology research and practice,Couple and Family Psychology-Research and Practice,PROFESSIONAL PSYCHOLOGY-RESEARCH AND PRACTICE,GROUP DYNAMICS-THEORY RESEARCH AND PRACTICE,https://doi.org/10.1037/cfp0000194,10-1037_cfp0000194
creativity,POSITIVITY,Subjectivity,ANTIQUITY,https://doi.org/10.1515/ctra-2019-0009,10-1515_ctra-2019-0009
creativity research journal,CREATIVITY RESEARCH JOURNAL,Getty Research Journal,TEXTILE RESEARCH JOURNAL,https://doi.org/10.1080/10400419.2020.1870816,10-1080_10400419-2020-1870816
crime  delinquency,CRIME & DELINQUENCY,Core Evidence,CRITICAL INQUIRY,https://doi.org/10.1177/0011128718787472,10-1177_0011128718787472
critical artssouthnorth cultural and media studies,Critical Arts-South-North Cultural and Media Studies,Journal of Italian Cinema and Media Studies,AM Journal of Art and Media Studies,https://doi.org/10.1080/02560046.2019.1627471,10-1080_02560046-2019-1627471
critical discourse studies,Critical Discourse Studies,Critical Historical Studies,Critical Policy Studies,https://doi.org/10.1080/17405904.2016.1250650,10-1080_17405904-2016-1250650
crosscultural research,CROSS-CULTURAL RESEARCH,AGRICULTURAL RESEARCH,AQUACULTURE RESEARCH,https://doi.org/10.1177/1069397118816939,10-1177_1069397118816939
culture  psychology,CULTURE & PSYCHOLOGY,CURRENT PSYCHOLOGY,Cultural Sociology,https://doi.org/10.1177/1354067x19868146,10-1177_1354067x19868146
current directions in psychological science,CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,Perspectives on Psychological Science,Evolutionary Psychological Science,https://doi.org/10.1177/0963721420917703,10-1177_0963721420917703
current opinion in behavioral sciences,Current Opinion in Behavioral Sciences,Current Opinion in Food Science,Current Opinion in Insect Science,https://doi.org/10.1016/j.cobeha.2019.12.013,10-1016_j-cobeha-2019-12-013
current opinion in food science,Current Opinion in Food Science,Current Opinion in Insect Science,Current Nutrition & Food Science,https://doi.org/10.1016/j.cofs.2020.02.005,10-1016_j-cofs-2020-02-005
current problems of psychiatry,CURRENT PROBLEMS IN SURGERY,CURRENT PROBLEMS IN CANCER,CURRENT OPINION IN PSYCHIATRY,https://doi.org/10.2478/cpp-2020-0017,10-2478_cpp-2020-0017
current science,CURRENT SCIENCE,Current Nanoscience,Urban Science,https://doi.org/10.18520/cs/v117/i7/1184-1188,10-18520_cs_v117_i7_1184-1188
current biology  cb,CURRENT BIOLOGY,Current Zoology,Current Oncology,https://doi.org/10.1016/j.cub.2020.05.071,10-1016_j-cub-2020-05-071
current psychology new brunswick nj,CURRENT PSYCHOLOGY,Current Oncology Reports,Current Psychiatry Reports,https://doi.org/10.1007/s12144-017-9573-0,10-1007_s12144-017-9573-0
cyberpsychology behavior and social networking,Cyberpsychology Behavior and Social Networking,Health Behavior and Policy Review,Travel Behaviour and Society,https://doi.org/10.1089/cyber.2019.0252,10-1089_cyber-2019-0252
cyberpsychology journal of psychosocial research on cyberspace,Cyberpsychology-Journal of Psychosocial Research on Cyberspace,International Journal of Psychological Research,International Journal of Social Research Methodology,https://doi.org/10.5817/cp2021-4-6,10-5817_cp2021-4-6
cywilizacja  o nauce moralności sztuce i religii,Cywilizacja i Polityka,Journal for the Academic Study of Religion,Colloquia Germanica Stetinensia,empty,-4.55E+18
człowiekniepełnosprawnośćspołeczeństwo,CZŁOWIEK NIEPEŁNOSPRAWNOŚĆ SPOŁECZEŃSTWO,Człowiek i Społeczeństwo,"Przestrzeń, Ekonomia, Społeczeństwo",empty,-3.16E+18
database  the journal of biological databases and curation,Database-The Journal of Biological Databases and Curation,JOURNAL OF BIOLOGICAL EDUCATION,Egyptian Journal of Biological Pest Control,https://doi.org/10.1093/database/baz085,10-1093_database_baz085
death studies,DEATH STUDIES,DESIGN STUDIES,Legal Studies,https://doi.org/10.1080/07481187.2019.1609136,10-1080_07481187-2019-1609136
decyzje,EYE,De Jure,De Arte,https://doi.org/10.7206/dec.1733-0092.127,10-7206_dec-1733-0092-127
demographic research,Demographic Research,Geographical Research,PEDIATRIC RESEARCH,https://doi.org/10.4054/demres.2021.44.13,10-4054_demres-2021-44-13
dental and medical problems,Dental and Medical Problems,Race and Social Problems,Chemical Problems,https://doi.org/10.17219/dmp/105253,10-17219_dmp_105253
deutsches arzteblatt international,Deutsches Arzteblatt International,Genetics Research International,NEUROCHEMISTRY INTERNATIONAL,https://doi.org/10.3238/arztebl.m2021.0258,10-3238_arztebl-m2021-0258
developmental cognitive neuroscience,Developmental Cognitive Neuroscience,DEVELOPMENTAL NEUROSCIENCE,JOURNAL OF COGNITIVE NEUROSCIENCE,https://doi.org/10.1016/j.dcn.2020.100763,10-1016_j-dcn-2020-100763
developmental neuropsychology,DEVELOPMENTAL NEUROPSYCHOLOGY,DEVELOPMENTAL PSYCHOLOGY,Developmental Neurobiology,https://doi.org/10.1080/87565641.2017.1417412,10-1080_87565641-2017-1417412
developmental psychology,DEVELOPMENTAL PSYCHOLOGY,DEVELOPMENTAL PSYCHOBIOLOGY,DEVELOPMENTAL BIOLOGY,https://doi.org/10.1037/dev0000865,10-1037_dev0000865
developmental period medicine,DEVELOPMENTAL NEUROSCIENCE,DEVELOPMENTAL SCIENCE,DEVELOPMENTAL REVIEW,empty,8.43E+18
deviant behavior,DEVIANT BEHAVIOR,Beyond Behavior,ETHICS & BEHAVIOR,https://doi.org/10.1080/01639625.2019.1665221,10-1080_01639625-2019-1665221
diabetes metabolic syndrome and obesity targets and therapy,Diabetes Metabolic Syndrome and Obesity-Targets and Therapy,Diabetes & Metabolic Syndrome-Clinical Research & Reviews,Metabolic Syndrome and Related Disorders,https://doi.org/10.2147/dmso.s322850,10-2147_dmso-s322850
diametros,Diametros,DIABETES,BIOMETALS,https://doi.org/10.33392/diam.1260,10-33392_diam-1260
disability and health journal,Disability and Health Journal,Iranian Heart Journal,Pakistan Heart Journal,https://doi.org/10.1016/j.dhjo.2020.100923,10-1016_j-dhjo-2020-100923
disability and rehabilitation,DISABILITY AND REHABILITATION,CLINICAL REHABILITATION,Disability and Health Journal,https://doi.org/10.1080/09638288.2020.1822933,10-1080_09638288-2020-1822933
dreaming,DREAMING,Dynamis,Imaging,https://doi.org/10.1037/drm0000167,10-1037_drm0000167
dyskursy młodych andragogów,Dyskursy Młodych Andragogów,Dyskurs i Dialog,NATURAL PRODUCT REPORTS,https://doi.org/10.34768/dma.vi20.22,10-34768_dma-vi20-22
dyskursy o kulturze discourses on culture,Discourses on Culture,Yazyk i Kultura-Language and Culture,Early Popular Visual Culture,https://doi.org/10.36145/doc2020.19,10-36145_doc2020-19
dyslexia,DYSLEXIA,DYSPHAGIA,HESPERIA,https://doi.org/10.1002/dys.1648,10-1002_dys-1648
dziecko krzywdzone,Dzieje Najnowsze,Notes Muzyczny,Ziemia Kujawska,empty,3.49E+18
educational psychology special issue ,EDUCATIONAL PSYCHOLOGY REVIEW,Educational Psychology in Practice,EDUCATIONAL PSYCHOLOGIST,https://doi.org/10.5604/01.3001.0012.4750,10-5604_01-3001-0012-4750
educational sciences theory  practice,Educational Sciences-Theory & Practice,Educational Psychology in Practice,Regional Science Policy and Practice,https://doi.org/10.12738/jestp.2020.2.002,10-12738_jestp-2020-2-002
