Original Title,Closest 1,Closest 2,Closest 3
public health nutrition,PUBLIC HEALTH NUTRITION,PUBLIC HEALTH NURSING,Public Health Action
public opinion quarterly,PUBLIC OPINION QUARTERLY,Public Library Quarterly,Adoption Quarterly
public policy studies,Critical Policy Studies,Policy Studies,Baltic-Pontic Studies
public health reports washington dc  ,PUBLIC HEALTH REPORTS,PUBLIC HEALTH NURSING,Public Health Research & Practice
półrocznik językoznawczy tertium,Półrocznik Językoznawczy Tertium,Prace Językoznawcze,Rocznik Przekładoznawczy
quality of life research,QUALITY OF LIFE RESEARCH,Qualitative Research,Review of Policy Research
quality of life research  an international journal of quality of life aspects of treatment care and rehabilitation,GOVERNANCE-AN INTERNATIONAL JOURNAL OF POLICY ADMINISTRATION AND INSTITUTIONS,Industrial Robot-The International Journal of Robotics Research and Application,SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS
quarterly journal of experimental psychology,QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,European Journal of Developmental Psychology,INTERNATIONAL JOURNAL OF EXPERIMENTAL PATHOLOGY
rehabilitation psychology,REHABILITATION PSYCHOLOGY,Rehabilitation Oncology,Rehabilitation Nursing
relaciones laborales y derecho del empleo,Revista General de Derecho Europeo,Revista General de Derecho Penal,Revista General de Derecho Romano
religion,RELIGION,Religions,Region
religions,Religions,RELIGION,Region
res facta nova,Hispania Nova,QUIMICA NOVA,TERRA NOVA
res facta nova teksty o muzyce współczesnej,Res Facta Nova. Teksty o muzyce współczesnej,Stomatologia Współczesna,Farmacja Współczesna
res humana,Lex Humana,Studia Humana,SPIXIANA
research ethics,RESEARCH POLICY,Legal Ethics,Research & Politics
research studies in music education,Research Studies in Music Education,Research Papers in Education,Research in Dance Education
research in autism spectrum disorders,Research in Autism Spectrum Disorders,PARKINSONISM & RELATED DISORDERS,Research in Sports Medicine
research in globalization,RESEARCH IN EDUCATION,RESEARCH EVALUATION,Research in Mathematics
research in globalization httpsdoiorgjresglo,Research in Organizational Behavior,Research in Learning Technology,Research in Transportation Economics
resocjalizacja polska,Resocjalizacja Polska,Farmacja Polska,Psychiatria Polska
respiratory medicine,RESPIRATORY MEDICINE,LABORATORY MEDICINE,Respiratory Care
respiratory care,Respiratory Care,RESPIRATORY RESEARCH,RESPIRATORY MEDICINE
review of behavioral economics,Review of Behavioral Economics,Review of Behavioral Finance,Review of International Economics
review of european and comparative law,Review of European and Comparative Law,Central European Journal of Comparative Law,AMERICAN JOURNAL OF COMPARATIVE LAW
revista de psicologia social,Revista de Psicologia Social,Revista de Psicologia PUCP,Revista de Antropologia Social
revista de psicologia del deporte,Revista de Psicologia del Deporte,Revista de Psicologia PUCP,Revista de Psicología (UNLP)
revue europeenne de psychologie appliquee,Revue Europeenne des Sciences Sociales,Revue Francaise de Linguistique Appliquee,Revue Roumaine de Philosophie
rhinology,RHINOLOGY,Phonology,Terminology
rocznik lubuski    httpwwwroczniklubuskiuzzgoraplwydaniatom_rocznik_lubuski__pdf,"Rocznik Polskiego Towarzystwa Heraldycznego, nowa seria",Edukacja Zawodowa i Ustawiczna. Polsko-Ukraiński Rocznik Naukowy,ROCZNIKI NAUKOWE POLSKIEGO TOWARZYSTWA ZOOTECHNICZNEGO
rocznik naukowy akademii wychowania fizycznego i sportu im jędrzeja śniadeckiego,Prace Naukowe Akademii im. Jana Długosza w Częstochowie. Edukacja Muzyczna,ROCZNIKI NAUKOWE POLSKIEGO TOWARZYSTWA ZOOTECHNICZNEGO,Rocznik Naukowy Kujawsko-Pomorskiej Szkoły Wyższej w Bydgoszczy
roczniki humanistyczne,Roczniki Humanistyczne,Roczniki Historyczne,Rocznik Lituanistyczny
roczniki kulturoznawcze,Roczniki Kulturoznawcze,Załącznik Kulturoznawczy,Prace Kulturoznawcze
roczniki pedagogiczne,Roczniki Pedagogiczne,Rocznik Pedagogiczny,Roczniki Teologiczne
roeper review,POETRY REVIEW,Cepal Review,European Review
roeper reviewa journal on gifted education,Roeper Review-A Journal on Gifted Education,International Journal of STEM Education,South African Journal of Higher Education
romani studies,Romani Studies,Romance Studies,HUMAN STUDIES
royal society open science,Royal Society Open Science,Surgery Open Science,European Urology Open Science
rozprawy naukowe akademii wychowania fizycznego we wrocławiu,PRACE NAUKOWE UNIWERSYTETU EKONOMICZNEGO WE WROCŁAWIU,Zeszyty Naukowe Akademii Górnośląskiej,Biuletyn Wojskowej Akademii Technicznej
rozprawy społeczne,Rozprawy Społeczne,Studia Społeczne,Konteksty Społeczne
ruch prawniczy ekonomiczny i socjologiczny,"Ruch Prawniczy, Ekonomiczny i Socjologiczny",Myśl Ekonomiczna i Polityczna,PRZEGLĄD SOCJOLOGICZNY
sage open,SAGE Open,JGH Open,BMJ Open
social psychological bulletin psychologia spoleczna,SOCIAL PSYCHOLOGICAL BULLETIN (PSYCHOLOGIA SPOLECZNA),Social Psychological and Personality Science,PSYCHOLOGICAL RESEARCH-PSYCHOLOGISCHE FORSCHUNG
societascommunitas,Societas Communitas,Communitas,City & Community
safety  fire technology,Safety & Fire Technology,FIRE TECHNOLOGY,Defence Technology
scandinavian journal of psychology,SCANDINAVIAN JOURNAL OF PSYCHOLOGY,SCANDINAVIAN JOURNAL OF IMMUNOLOGY,Scandinavian Journal of Urology
school mental health,School Mental Health,Global Mental Health,AGING & MENTAL HEALTH
scientia et fides,Scientia et Fides,Scientia Medica,SCIENTIA & SOCIETAS
scientic reports,Scientific Reports,SCIENCE & SPORTS,Cancer Reports
scientific journal of the military university of land forces,Scientific Journal of the Military University of Land Forces,Scientific Journal of Gdynia Maritime University,Clinical Journal of the American Society of Nephrology
scientific papers of silesian university of technology organization and management series,Scientific Journal of Silesian University of Technology-Series Transport,JOURNAL OF WUHAN UNIVERSITY OF TECHNOLOGY-MATERIALS SCIENCE EDITION,Journal of Health Organization and Management
scientometrics,SCIENTOMETRICS,Econometrics,Glottometrics
second language research,SECOND LANGUAGE RESEARCH,GONDWANA RESEARCH,SOIL & TILLAGE RESEARCH
semina scientiarum,MUSICAE SCIENTIAE,AMERICAN SCIENTIST,ius et scientia
seminare poszukiwania naukowe,Seminare. Poszukiwania naukowe,Seminars in Pediatric Neurology,SEMINARS IN NEUROLOGY
sensors,SENSORS,ACS Sensors,HELIOS
sex roles,SEX ROLES,Sexologies,Extremes
sex roles a journal of research,IETE JOURNAL OF RESEARCH,AATCC Journal of Research,European Oral Research
sexual abuse,Sexualities,Sexual Health,Sexual Medicine
sexual medicine reviews,Sexual Medicine Reviews,SLEEP MEDICINE REVIEWS,Nuclear Medicine Review
sexuality and disability,SEXUALITY AND DISABILITY,Life Span and Disability,FERTILITY AND STERILITY
sign language studies,Sign Language Studies,Sign Systems Studies,Sign Language & Linguistics
sleep,SLEEP,Semen,SCREEN
sleep medicine,SLEEP MEDICINE,Open Medicine,Cell Medicine
sleep medicine,SLEEP MEDICINE,Open Medicine,Cell Medicine
social development,SOCIAL DEVELOPMENT,Sexual Development,Neural Development
social justice research,Social Justice Research,SOCIAL SCIENCE RESEARCH,SOCIAL WORK RESEARCH
social networks,SOCIAL NETWORKS,NEURAL NETWORKS,SOCIAL WORK
social neuroscience,Social Neuroscience,VISUAL NEUROSCIENCE,BMC NEUROSCIENCE
social psychological bulletin,PSYCHOLOGICAL BULLETIN,Social Psychology of Education,Social Psychology and Society
social psychological bulletin,PSYCHOLOGICAL BULLETIN,Social Psychology of Education,Social Psychology and Society
social psychological and personality science,Social Psychological and Personality Science,Social Psychology and Society,SOCIAL BEHAVIOR AND PERSONALITY
social psychology,Social Psychology,MEDIA PSYCHOLOGY,POLITICAL PSYCHOLOGY
social psychology of education,Social Psychology of Education,SOCIOLOGY OF EDUCATION,Social Psychology and Society
social science computer review,SOCIAL SCIENCE COMPUTER REVIEW,SOCIAL SCIENCE JOURNAL,SOCIAL SCIENCE & MEDICINE
social welfare interdisciplinary approach,Social Welfare Interdisciplinary Approach,Sports Health-A Multidisciplinary Approach,JOURNAL OF INTERDISCIPLINARY HISTORY
social work,SOCIAL WORK,SOCIAL NETWORKS,Social Text
social and personality psychology compass,Social and Personality Psychology Compass,Journal of Personnel Psychology,European Journal of Psychology Open
socialization  human development international scientific journal,Agricultural and Resource Economics-International Scientific E-Journal,INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL,NUTRITION AND CANCER-AN INTERNATIONAL JOURNAL
sociedad e infancias,SOCIETY & ANIMALS,Societas Communitas,Science Advances
society register,Society Register,SOCIETY & ANIMALS,SOCIAL HISTORY
society integration education proceedings of the international scientific conference,Agricultural and Resource Economics-International Scientific E-Journal,Future Generation Computer Systems-The International Journal of eScience,International Journal of Modeling Simulation and Scientific Computing
socjolingwistyka,Socjolingwistyka,Psycholinguistics,Biolinguistics
spanish journal of psychology,Spanish Journal of Psychology,BRITISH JOURNAL OF PSYCHOLOGY,SWISS JOURNAL OF PSYCHOLOGY
spinal cord,SPINAL CORD,SOCIAL WORK,MEDICAL CARE
sport sciences for health,Human Resources for Health,SEED SCIENCE RESEARCH,Education for Health
sports,Sports,Reports,Souls
społeczeństwo i edukacja,Społeczeństwo. Edukacja. Język,Kultura-Społeczeństwo-Edukacja,Podstawy edukacji
spravodajca univerzity mateja bela v banskej bystrici,Studia Universitatis Babes-Bolyai Musica,Studia Universitatis Babeş-Bolyai. Historia,Punjab University Journal of Mathematics
standardy medyczne pediatria,ANALES DE PEDIATRIA,Jornal de Pediatria,Boletin de Pediatria
studia demograficzne,Studia Demograficzne,Studia Semiotyczne,Studia Prawnicze
studia ecologiae et bioethicae,Studia Ecologiae et Bioethicae,Studia Metrica et Poetica,Studia Historiae Oeconomicae
studia humana,Studia Humana,Studia Ceranea,STUDI ROMANI
studia humanistica gedanensia,Studia Historica Gedanensia,STUDIA GERMANICA GEDANENSIA,Studia Rossica Gedanensia
studia humanistyczne agh,Studia Humanistyczne AGH,Studia Semiotyczne,Studia Polityczne
studia kulturoznawcze,Studia Filmoznawcze,Prace Kulturoznawcze,Studia Źródłoznawcze
studia logica,Studia Logica,Studia Slavica,Studia Iranica
studia oecumenica,Studia Oecumenica,Studia Canonica,Studia Iuridica
studia paradyskie,Studia Paradyskie,Studia Warminskie,Studia Gdańskie
studia pedagogiczne problemy społeczne edukacyjne i artystyczne,"Studia Pedagogiczne. Problemy społeczne, edukacyjne i artystyczne",Studia Środkowoeuropejskie i Bałkanistyczne,Filozoficzne Problemy Edukacji
studia philosophiae christianae,Studia Philosophiae Christianae,Studia Philosophica Kantiana,Studia Philosophica Estonica
studia philosophica wratislaviensia,Studia Philosophica Wratislaviensia,Studia Philosophica Kantiana,Studia Theologica Varsaviensia
studia prawnoekonomiczne,Studia Prawno-Ekonomiczne,Studia Prawnicze,Studia Politologiczne
studia prawnoustrojowe,STUDIA PRAWNOUSTROJOWE,Studia Prawnicze,Studia Prawno-Ekonomiczne
studia psychologiczne,STUDIA PSYCHOLOGICA,Studia Politologiczne,Studia Musicologica
studia religiologica,STUDIA NEOPHILOLOGICA,Studia Musicologica,STUDIA PSYCHOLOGICA
studia semiotyczne,Studia Semiotyczne,Studia Polityczne,Studia Społeczne
studia socialia cracoviensia  nr  ,Studia Anglica Resoviensia,Studia Ucrainica Varsoviensia,Classica Cracoviensia
studia włocławskie,Studia Włocławskie,Studia Wilanowskie,Studia Łomżyńskie
studia i materiały wydziału zarządzania i administracji wyższej szkoły pedagogicznej im jana kochanowskiego w kielcach,Studia i Materiały Wydział Zarządzania Uniwersytet Warszawski,Zeszyty Naukowe Małopolskiej Wyższej Szkoły Ekonomicznej w Tarnowie,Zeszyty Naukowe Wyższej Szkoły Technicznej w Katowicach
studia i prace kolegium zarządzania i finansów,Studia i Prace Kolegium Zarządzania i Finansów,Studia Theologica Varsaviensia,Studia Theologia Catholica Latina
studia nad rodziną,Studia Zachodnie,Studia Iuridica,Studia Maritima
studia z teorii wychowania,Studia z Teorii Wychowania,Biuletyn Historii Wychowania,Studia z Historii Filozofii
studies in higher education,STUDIES IN HIGHER EDUCATION,Quality in Higher Education,Studies in Science Education
studies in second language acquisition,STUDIES IN SECOND LANGUAGE ACQUISITION,Journal of Second Language Pronunciation,JOURNAL OF SECOND LANGUAGE WRITING
studies in sport humanities,Studies in Sport Humanities,Studies in Spirituality,Studies in Art Education
suicydologia,Suicidology,CYTOLOGIA,SOCIOLOGIA
surveillance  society,Surveillance & Society,SCIENCE & SOCIETY,AGEING & SOCIETY
survey research methods,Survey Research Methods,Behavior Research Methods,Ask: Research and Methods
symmetry,Safety,SOCIETY,SURGERY
synthese,SYNTHESE,SYNAPSE,Systems
szondiana journal of fateanalysis and contributions to depth psychology,European Journal of Work and Organizational Psychology,BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,European Journal of Applied Positive Psychology
sztuka leczenia,Sztuka Leczenia,Studia Oecumenica,Studia Hercynia
targetinternational journal of translation studies,Target-International Journal of Translation Studies,International Journal of Canadian Studies,International Journal of Fashion Studies
targeted oncology,Targeted Oncology,LANCET ONCOLOGY,Current Oncology
teaching of psychology,TEACHING OF PSYCHOLOGY,TEACHING SOCIOLOGY,Reading Psychology
teka komisji prawniczej pan oddział w lublinie,TEKA Komisji Prawniczej PAN Oddział w Lublinie,Teka Komisji Urbanistyki i Architektury,Ekonomia i Prawo-Economics and Law
teksty drugie,Teksty Drugie,Teknik Dergi,CNS DRUGS
teoretični i prikladni problemi psihologiï,THEORETICAL POPULATION BIOLOGY,REVISTA MEXICANA DE PSICOLOGIA,Revista Chilena de Neuropsicologia
terapia uzależnienia i współuzależnienia,Studia Ukrainica Posnaniensia,Folia Scandinavica Posnaniensia,Folia Praehistorica Posnaniensia
teraźniejszość  człowiek  edukacja   ,Teraźniejszość - Człowiek - Edukacja,Przedsiębiorczość - Edukacja,PROBLEMY WCZESNEJ EDUKACJI
the application of clinical genetics,Application of Clinical Genetics,Applications of Mathematics,NUTRITION IN CLINICAL PRACTICE
the biblical annals,PEDIATRIC ANNALS,PSYCHIATRIC ANNALS,Clinical Trials
the clinical neuropsychologist,CLINICAL NEUROPSYCHOLOGIST,Clinical Psychologist,CLINICAL NEUROPHYSIOLOGY
the european journal of contraception  reproductive health care,EUROPEAN JOURNAL OF CONTRACEPTION AND REPRODUCTIVE HEALTH CARE,African Journal of Reproductive Health,Asian Journal of Pharmaceutical Research and Health Care
the european journal of contraception  reproductive health care  the official journal of the european society of contraception,EUROPEAN JOURNAL OF CONTRACEPTION AND REPRODUCTIVE HEALTH CARE,European Journal of Investigation in Health Psychology and Education,HOPOS-The Journal of the International Society for the History of Philosophy of Science
the humanistic psychologist,EDUCATIONAL PSYCHOLOGIST,AMERICAN PSYCHOLOGIST,EUROPEAN PSYCHOLOGIST
the international journal of aging and human development,INTERNATIONAL JOURNAL OF AGING & HUMAN DEVELOPMENT,International Journal of Training and Development,International Journal of Happiness and Development
the journal of early adolescence,JOURNAL OF EARLY ADOLESCENCE,JOURNAL OF ADOLESCENCE,JOURNAL OF RESEARCH ON ADOLESCENCE
the journal of neurological and neurosurgical nursing,Journal of Mineralogical and Petrological Sciences,JOURNAL OF PERINATAL & NEONATAL NURSING,Journal of Korean Neurosurgical Society
the journal of neuroscience,JOURNAL OF NEUROSCIENCE,EUROPEAN JOURNAL OF NEUROSCIENCE,JOURNAL OF CELL SCIENCE
the journal of pain,JOURNAL OF PAIN,Korean Journal of Pain,British Journal of Pain
the journal of psychology,JOURNAL OF PSYCHOLOGY,SWISS JOURNAL OF PSYCHOLOGY,BRITISH JOURNAL OF PSYCHOLOGY
the journal of social psychology,JOURNAL OF SOCIAL PSYCHOLOGY,ASIAN JOURNAL OF SOCIAL PSYCHOLOGY,BRITISH JOURNAL OF SOCIAL PSYCHOLOGY
the journal of allergy and clinical immunology,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,European Annals of Allergy and Clinical Immunology,Current Opinion in Allergy and Clinical Immunology
the journal of neuroscience  the official journal of the society for neuroscience,Journal of the History of the Neurosciences,Journal of Neuroscience Psychology and Economics,Journal of Neurosciences in Rural Practice
the laryngoscope,LARYNGOSCOPE,Health Scope,SPECTROSCOPY
the open psychology journal,PsychNology Journal,Open Ophthalmology Journal,Biotechnology Journal
the person and the challengesthe journal of theology education canon law and social studies inspired by pope john paul ii,Person and the Challenges-The Journal of Theology Education Canon Law and Social Studies Inspired by Pope John Paul II,TETSU TO HAGANE-JOURNAL OF THE IRON AND STEEL INSTITUTE OF JAPAN,Learning and Teaching-The International Journal of Higher Education in the Social Sciences
the polish journal of aviation medicine bioengineering and psychology,"The Polish Journal of Aviation Medicine, Bioengineering and Psychology",International Journal of Biomedical Engineering and Technology,Journal of Marine Engineering and Technology
the proceedings of the annual convention of the japanese psychological association,SOCIOLOGY-THE JOURNAL OF THE BRITISH SOCIOLOGICAL ASSOCIATION,PROCEEDINGS OF THE LONDON MATHEMATICAL SOCIETY,Transactions of the American Philological Association
the r journal,THEATRE JOURNAL,R Journal,Cell Journal
the review of psychology,TEACHING OF PSYCHOLOGY,THEORY & PSYCHOLOGY,JOURNAL OF PSYCHOLOGY
the review of psychology vol  ,TEACHING OF PSYCHOLOGY,THEORY & PSYCHOLOGY,Review of Symbolic Logic
the review of psychology official journal of the polish psychological association,Przegląd Psychologiczny (The Review of Psychology. Official Journal of the Polish Psychological Association),SOCIOLOGY-THE JOURNAL OF THE BRITISH SOCIOLOGICAL ASSOCIATION,Series-Journal of the Spanish Economic Association
the science of the total environment,SCIENCE OF THE TOTAL ENVIRONMENT,Developments in the Built Environment,Ethics and the Environment
the social science journal,SOCIAL SCIENCE JOURNAL,GHANA SOCIAL SCIENCE JOURNAL,Ocean Science Journal
the journal of pain  official journal of the american pain society,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,BOTANICAL JOURNAL OF THE LINNEAN SOCIETY
thinking  reasoning,THINKING & REASONING,Online Learning,LANGUAGE LEARNING
thinking skills and creativity,Thinking Skills and Creativity,Living Reviews in Relativity,DIGITAL CREATIVITY
thorax,THORAX,ORYX,THEORIA
torun business review,Torun Business Review,Global Business Review,FIIB Business Review
torun international studies,Torun International Studies,REVIEW OF INTERNATIONAL STUDIES,Interaction Studies
transcultural psychiatry,Transcultural Psychiatry,Translational Psychiatry,Transcultural Studies
transplantation proceedings,TRANSPLANTATION PROCEEDINGS,Transplantation Reviews,Transplantation Research
transportation research part f traffic psychology and behaviour,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT
trauma violence  abuse,Trauma Violence & Abuse,Substance Abuse,Partner Abuse
trends in cognitive sciences,TRENDS IN COGNITIVE SCIENCES,Topics in Cognitive Science,TRENDS IN PLANT SCIENCE
trials,Trials,Oriens,Risks
ubezpieczenia społeczne teoria i praktyka,Ubezpieczenia Społeczne. Teoria i praktyka.,"Zabezpieczenie Społeczne. Teoria, Prawo, Praktyka",Bezpieczeństwo. Teoria i Praktyka
ukrainian music,ASIAN MUSIC,AMERICAN MUSIC,EARLY MUSIC
urban forestry and urban greening,URBAN FORESTRY & URBAN GREENING,LANDSCAPE AND URBAN PLANNING,Urban Policy and Research
vaccines,Vaccines,VACCINE,Machines
virtual reality,VIRTUAL REALITY,Sexual Health,Digital Health
visnyk of v n karazin kharkiv national university a series of psychology,Visnyk of V N Karazin Kharkiv National University-Series Geology Geography Ecology,Visnyk of Taras Shevchenko National University of Kyiv-Geology,Journal of Sakarya University Faculty of Theology
visual cognition,VISUAL COGNITION,SOCIAL COGNITION,ANIMAL COGNITION
weather and climate extremes,Weather and Climate Extremes,Weather and Climate,Matter and Radiation at Extremes
wgląd,GLIA,CELL,SOLA
wiadomosci lekarskie warsaw poland  ,Wiadomosci Archeologiczne,Wiadomości Elektrotechniczne,Photonics Letters of Poland
wiadomości lekarskie,Wiadomości Botaniczne,Wiadomości Chemiczne,Wiadomości Statystyczne
wideochirurgia i inne techniki maloinwazyjne,Materiali in Tehnologije,Kardiochirurgia i Torakochirurgia Polska,IEEE Industrial Electronics Magazine
world j biol psych,WORLD POLITICS,WORLD DEVELOPMENT,WORLD ECONOMY
world psychiatry,World Psychiatry,BMC Psychiatry,JAMA Psychiatry
wrocławski rocznik historii mówionej,Wrocławski Rocznik Historii Mówionej,Rocznik Historii Sztuki,Krakowski Rocznik Archiwalny
wychowanie na co dzień,Wychowanie na co dzień,Wychowanie w Rodzinie,CRYPTOGAMIE MYCOLOGIE
z zagadnien nauk sadowych,Zagadnienia Naukoznawstwa,Roczniki Nauk Prawnych,Roczniki Nauk Społecznych
zarządzanie publiczne zeszyty naukowe instytutu spraw publicznych uj,Zarządzanie Publiczne. Zeszyty Naukowe Instytutu Spraw Publicznych Uniwersytetu Jagiellońskiego,Czasopismo Naukowe Instytutu Studiów Kobiecych,Humanistyczne Zeszyty Naukowe Prawa Człowieka
zas papers in linguistics,Topics in Linguistics,Language and Linguistics,APPLIED LINGUISTICS
zarządzanie publiczne,Zarządzanie Biblioteką,Zarządzanie w Kulturze,Zarządzanie Mediami
zdrowie publiczne i zarządzanie,Nowoczesne Systemy Zarządzania,Akademia Zarządzania,Rocznik Biblioteki Narodowej
zeitschrift für kinder und jugendpsychiatrie und psychotherapie,ZEITSCHRIFT FUR KINDER-UND JUGENDPSYCHIATRIE UND PSYCHOTHERAPIE,ZEITSCHRIFT FUR KLINISCHE PSYCHOLOGIE UND PSYCHOTHERAPIE,Zeitschrift fur Psychiatrie Psychologie und Psychotherapie
zenodo,Nodo,GENOME,Henoch
zeszyty naukowe pwsz imwitelona w legnicy,Zeszyty Naukowe Akademii Górnośląskiej,Zeszyty Naukowe Pro Publico Bono,Zeszyty Naukowe PWSZ
zeszyty naukowe państwowej wyższej szkoły zawodowej im witelona w legnicy,Zeszyty Naukowe Wyższej Szkoły Bankowej w Poznaniu,Zeszyty Naukowe Małopolskiej Wyższej Szkoły Ekonomicznej w Tarnowie,Zeszyty Naukowe Wyższej Szkoły Humanitas Zarządzanie
zeszyty naukowe wyższej szkoły humanitas,Zeszyty Naukowe Wyższej Szkoły Humanitas Pedagogika,Zeszyty Naukowe Wyższej Szkoły Humanitas Zarządzanie,Zeszyty Naukowe Wyższej Szkoły Bankowej w Poznaniu
zeszyty naukowe organizacja i zarządzanie  politechnika śląska,Organizacja i Zarządzanie : kwartalnik naukowy,Zeszyty Naukowe Ochrony Zdrowia. Zdrowie Publiczne i Zarządzanie,Zeszyty Naukowe Akademii Górnośląskiej
zeszyty pracy socjalnej,Zeszyty Pracy Socjalnej,Zeszyty Prasoznawcze,Zeszyty Prawnicze
zeszyty psychologicznopedagogiczne centrum edukacji artystycznej,"Studia Pedagogiczne. Problemy społeczne, edukacyjne i artystyczne",Technology Pedagogy and Education,Health Psychology and Behavioral Medicine
,Du,EYE,Ból
elife,eLife,SPINE,Elpis
edycyna pracy,MEDYCYNA PRACY,Rynek Pracy,Medycyna Praktyczna
iperception,i-Perception,PERCEPTION,HYPERTENSION
iscience,iScience,SCIENCE,BIOSCIENCE
in psychology in practice nr  s ,Educational Psychology in Practice,PSYCHOLOGY IN THE SCHOOLS,PSYCHOLOGY CRIME & LAW
lnternational electronic journal of elementary education,International Electronic Journal of Geometry,International Electronic Journal of Algebra,INTERNATIONAL JOURNAL OF SCIENCE EDUCATION
protocolsio,PROTOPLASMA,PROTEOMICS,Processes
školský psychológ,HEALTH PSYCHOLOGY,Nordic Psychology,Cogent Psychology
науковий часопис нпу імені м п драгоманова серія  психологічні науки,Наукові записки НаУКМА. Юридичні науки,Науковий вісник Мукачівського державного університету. Серія «Економіка»,Ученые записки Казанского университета. Серия Гуманитарные науки
психология человека в образовании т   ,Социология науки и технологий,Филологически форум,УСПЕХИ СОВРЕМЕННОЙ НАУКИ И ОБРАЗОВАНИЯ
студенческий вестник,ИСТОРИЈСКИ ЧАСОПИС,Юридическая наука,Црквене студије
